0,345,847
346,383,578
384,427,888
428,447,569
448,461,897
462,479,580
480,491,771
492,499,219
500,505,740
506,523,797
524,549,926
550,556,898
557,576,852
577,594,736
595,614,909
615,644,885
645,652,680
653,692,639
693,730,720
731,807,940
808,923,659
924,1387,879
1388,any,348
