,x,y,school_name,number_vce_subjects,satisfactory_complete_vce_percent,median_study_score,study_score_over_40_percent,percentage_applying_to_victorian_uni
72,144.89376,-37.79104,footscray high school,54.0,100.0,29.0,3.0,75.0
73,146.19741,-38.65174,foster secondary college,43.0,100.0,29.0,4.6,57.0
74,145.12895,-38.16219,frankston high school,68.0,98.0,32.0,9.8,75.0
75,144.37373,-38.15303,geelong high school,42.0,94.0,26.0,1.4,40.0
76,144.58477,-37.49811,gisborne secondary college,59.0,97.0,26.0,2.6,56.0
77,145.06198,-37.7075,bundoora secondary college,43.0,100.0,23.0,0.7,56.0
78,145.53081,-37.64359,healesville high school,32.0,97.0,25.0,7.186514522821577,72.0
79,145.17682,-37.86541,highvale secondary college,42.0,98.0,29.0,6.1,87.0
80,143.9138,-35.72565,kerang technical high school,19.0,95.0,23.0,4.7,21.0
81,145.06336,-37.79555,kew high school,54.0,99.0,31.0,7.2,97.0
82,145.11756,-37.80219,koonung secondary college,55.0,99.0,32.0,9.9,86.0
83,145.05621,-36.31748,kyabram p college,45.0,90.0,24.0,0.6,23.0
84,145.03062,-37.67266,lalor secondary college,48.0,95.0,25.0,1.5,74.0
85,145.34392,-37.7607,lilydale high school,58.0,96.0,28.0,2.4,39.0
86,143.97389,-38.53918,lorne p college,15.0,100.0,26.0,8.7,83.0
87,145.20671,-37.95876,lyndale secondary college,34.0,95.0,29.0,3.8,72.0
88,145.00226,-37.81648,lynall hall community school,19.0,67.0,28.7569573283859,7.186514522821577,67.05434782608695
89,146.98242,-37.96489,maffra secondary college,29.0,96.0,25.0,7.186514522821577,40.0
90,146.08856,-37.06268,mansfield secondary college,47.0,95.0,30.0,5.7,54.0
91,144.99531,-37.83683,melbourne high school,46.0,100.0,36.0,27.9,96.0
92,144.56822,-37.68175,melton secondary college,44.0,99.0,24.0,1.1,56.0
93,142.14539,-34.198,mildura senior college,74.0,94.0,26.0,2.0,43.0
94,145.42781,-37.88318,monbulk college,38.0,92.0,25.0,4.9,36.0
95,145.31423,-37.77508,mooroolbark college,51.0,90.0,28.0,2.7,49.0
96,145.09268,-38.01224,mordialloc college,55.0,96.0,30.0,6.4,65.0
97,145.04854,-37.9122,mckinnon secondary college,74.0,100.0,33.0,18.4,88.0
98,145.20844,-36.0599,nathalia secondary college,27.0,85.0,20.0,7.186514522821577,8.0
99,144.3952,-38.17113,newcomb secondary college,34.0,95.0,26.0,6.7,55.0
100,144.98971,-37.77416,northcote high school,71.0,99.0,31.0,6.6,87.0
